exp_contrast exp_mp_avg exp_mp_sd exp_mp_noise
0.351083 -0.002742 3.006655 0.494277
0.150980 0.004026 1.717561 0.395320
0.147379 -0.001571 1.702639 0.375115
0.280583 0.004413 2.613960 0.408285
0.054381 -0.004269 0.816041 0.352689
0.117789 -0.000481 1.416491 0.362632
0.206276 0.002774 2.170596 0.369119
0.080441 -0.001813 0.993099 0.367902
0.347932 0.003455 2.766551 0.393772
0.116482 -0.004783 1.368226 0.368291
0.330150 0.002220 3.006155 0.400202
0.242505 -0.005569 2.308082 0.384018
0.156128 0.007083 1.646098 0.359429
0.123476 -0.003864 1.444303 0.343488
0.265585 0.001376 2.500441 0.376624
